"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 29 15:20:32 CDT 2022","Fri Apr 29 15:20:36 CDT 2022","3986","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","Then I should see the director ""Matt Reeves""","Then I should see the director ""Matt Reeves""",""
"passed","Fri Apr 29 15:21:16 CDT 2022","Fri Apr 29 15:21:16 CDT 2022","125","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then on the page I select ""The Batman"" movie","Then on the page I select ""The Batman"" movie",""
"passed","Fri Apr 29 15:21:09 CDT 2022","Fri Apr 29 15:21:12 CDT 2022","3304","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 15:20:36 CDT 2022","Fri Apr 29 15:20:36 CDT 2022","1","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","",""
"passed","Fri Apr 29 15:20:56 CDT 2022","Fri Apr 29 15:20:59 CDT 2022","3167","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then I should see genre ""Action""","Then I should see genre ""Action""",""
"passed","Fri Apr 29 15:20:39 CDT 2022","Fri Apr 29 15:20:44 CDT 2022","4786","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","When on the navbar I search ""The Batman""","When on the navbar I search ""The Batman""",""
"passed","Fri Apr 29 15:20:36 CDT 2022","Fri Apr 29 15:20:39 CDT 2022","2699","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 15:20:36 CDT 2022","Fri Apr 29 15:20:36 CDT 2022","89","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","Then I should see the star ""Robert Pattinson""","Then I should see the star ""Robert Pattinson""",""
"passed","Fri Apr 29 15:20:21 CDT 2022","Fri Apr 29 15:20:28 CDT 2022","6447","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 15:20:28 CDT 2022","Fri Apr 29 15:20:32 CDT 2022","4350","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","When on the navbar I search ""The Batman""","When on the navbar I search ""The Batman""",""
"passed","Fri Apr 29 15:21:05 CDT 2022","Fri Apr 29 15:21:09 CDT 2022","3870","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then I should see genre ""Crime""","Then I should see genre ""Crime""",""
"passed","Fri Apr 29 15:21:16 CDT 2022","Fri Apr 29 15:21:19 CDT 2022","3472","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then I should see genre ""Drama""","Then I should see genre ""Drama""",""
