"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 29 15:09:36 CDT 2022","Fri Apr 29 15:09:36 CDT 2022","1","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","",""
"passed","Fri Apr 29 15:10:30 CDT 2022","Fri Apr 29 15:10:34 CDT 2022","4563","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then I should see genre ""Drama""","Then I should see genre ""Drama""",""
"passed","Fri Apr 29 15:09:36 CDT 2022","Fri Apr 29 15:09:42 CDT 2022","6225","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 15:10:16 CDT 2022","Fri Apr 29 15:10:21 CDT 2022","4659","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then I should see genre ""Crime""","Then I should see genre ""Crime""",""
"passed","Fri Apr 29 15:09:51 CDT 2022","Fri Apr 29 15:09:51 CDT 2022","2","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","",""
"passed","Fri Apr 29 15:09:27 CDT 2022","Fri Apr 29 15:09:31 CDT 2022","4789","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","When on the navbar I search ""The Batman""","When on the navbar I search ""The Batman""",""
"passed","Fri Apr 29 15:09:47 CDT 2022","Fri Apr 29 15:09:51 CDT 2022","4758","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","Then I should see that the ranking is ""8.1""","Then I should see that the ranking is ""8.1""",""
"passed","Fri Apr 29 15:09:46 CDT 2022","Fri Apr 29 15:09:47 CDT 2022","195","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","Then on the page I select ""Batman"" movie","Then on the page I select ""Batman"" movie",""
"passed","Fri Apr 29 15:09:42 CDT 2022","Fri Apr 29 15:09:46 CDT 2022","4403","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","When on the navbar I search ""The Batman""","When on the navbar I search ""The Batman""",""
"passed","Fri Apr 29 15:10:34 CDT 2022","Fri Apr 29 15:10:34 CDT 2022","0","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","",""
