"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 29 14:31:31 CDT 2022","Fri Apr 29 14:31:36 CDT 2022","5406","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","When on the navbar I search ""The Batman""","When on the navbar I search ""The Batman""",""
"passed","Fri Apr 29 14:31:25 CDT 2022","Fri Apr 29 14:31:31 CDT 2022","6197","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 14:32:19 CDT 2022","Fri Apr 29 14:32:23 CDT 2022","3853","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 14:31:40 CDT 2022","Fri Apr 29 14:31:44 CDT 2022","3423","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 14:32:15 CDT 2022","Fri Apr 29 14:32:19 CDT 2022","4611","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then I should see genre ""Crime""","Then I should see genre ""Crime""",""
"passed","Fri Apr 29 14:32:29 CDT 2022","Fri Apr 29 14:32:29 CDT 2022","154","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then on the page I select ""The Batman"" movie","Then on the page I select ""The Batman"" movie",""
"passed","Fri Apr 29 14:31:40 CDT 2022","Fri Apr 29 14:31:40 CDT 2022","1","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","",""
"passed","Fri Apr 29 14:31:51 CDT 2022","Fri Apr 29 14:31:51 CDT 2022","0","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","""The Batman"" Movie Details Page: As a user, I should be able the see the ranking of the movie ""8.1""","","",""
"passed","Fri Apr 29 14:32:01 CDT 2022","Fri Apr 29 14:32:05 CDT 2022","4266","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","","""The Batman"" Movie Details Page: Validate that the movie genres are ""Action"", ""Crime"" & ""Drama""","Then I should see genre ""Action""","Then I should see genre ""Action""",""
"unknown","Fri Apr 29 14:31:40 CDT 2022","Wed Dec 31 18:00:00 CST 1969","-1651260700611","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","","""The Batman"" Movie Details Page: As a user, I should be able the see if director is Matt Reeves & and than Robert Pattison is 1 of the ""Stars""","Then I should see the star ""Robert Pattnson""","Then I should see the star ""Robert Pattnson""",""
