"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 29 16:48:52 CDT 2022","Fri Apr 29 16:48:52 CDT 2022","0","","Movie Details Page: Validate Genres","","Movie Details Page: Validate Genres","","",""
"passed","Fri Apr 29 16:48:33 CDT 2022","Fri Apr 29 16:48:37 CDT 2022","4239","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","When on the navbar I search movie ""The Batman""","When on the navbar I search movie ""The Batman""",""
"passed","Fri Apr 29 16:48:52 CDT 2022","Fri Apr 29 16:48:52 CDT 2022","386","","Movie Details Page: Validate Genres","","Movie Details Page: Validate Genres","Then check if the movie has the genre of ""Crimen""","Then check if the movie has the genre of ""Crimen""",""
"passed","Fri Apr 29 16:48:26 CDT 2022","Fri Apr 29 16:48:29 CDT 2022","3532","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","Then I select the movie","Then I select the movie",""
"passed","Fri Apr 29 16:48:30 CDT 2022","Fri Apr 29 16:48:33 CDT 2022","3118","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 16:48:43 CDT 2022","Fri Apr 29 16:48:48 CDT 2022","4419","","Movie Details Page: Validate Genres","","Movie Details Page: Validate Genres","When on the navbar I search movie ""The Batman""","When on the navbar I search movie ""The Batman""",""
"broken","Fri Apr 29 16:48:52 CDT 2022","Fri Apr 29 16:48:52 CDT 2022","2","","Movie Details Page: Validate Genres","","Movie Details Page: Validate Genres","Then check if the movie has the genre of ""Dorama""","Then check if the movie has the genre of ""Dorama""",""
"passed","Fri Apr 29 16:48:48 CDT 2022","Fri Apr 29 16:48:51 CDT 2022","3744","","Movie Details Page: Validate Genres","","Movie Details Page: Validate Genres","Then I select the movie","Then I select the movie",""
"passed","Fri Apr 29 16:48:41 CDT 2022","Fri Apr 29 16:48:41 CDT 2022","1","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","","",""
"passed","Fri Apr 29 16:48:37 CDT 2022","Fri Apr 29 16:48:40 CDT 2022","3408","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","Then I select the movie","Then I select the movie",""
"passed","Fri Apr 29 16:48:51 CDT 2022","Fri Apr 29 16:48:52 CDT 2022","505","","Movie Details Page: Validate Genres","","Movie Details Page: Validate Genres","Then check if the movie has the genre of ""Acción""","Then check if the movie has the genre of ""Acción""",""
"passed","Fri Apr 29 16:48:29 CDT 2022","Fri Apr 29 16:48:30 CDT 2022","252","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","Then check if the actor is ""Robert Pattinson""","Then check if the actor is ""Robert Pattinson""",""
"passed","Fri Apr 29 16:48:22 CDT 2022","Fri Apr 29 16:48:26 CDT 2022","3401","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","When on the navbar I search movie ""The Batman""","When on the navbar I search movie ""The Batman""",""
"passed","Fri Apr 29 16:48:17 CDT 2022","Fri Apr 29 16:48:22 CDT 2022","5351","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 16:48:30 CDT 2022","Fri Apr 29 16:48:30 CDT 2022","0","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","","",""
"passed","Fri Apr 29 16:48:29 CDT 2022","Fri Apr 29 16:48:29 CDT 2022","281","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","","Movie Details Page: Check if the director is Matt Reeves and Robert Pattinson the actor.","Then check if the director is ""Matt Reeves""","Then check if the director is ""Matt Reeves""",""
"passed","Fri Apr 29 16:48:41 CDT 2022","Fri Apr 29 16:48:43 CDT 2022","2497","","Movie Details Page: Validate Genres","","Movie Details Page: Validate Genres","Given I am on the home page","Given I am on the home page",""
"passed","Fri Apr 29 16:48:40 CDT 2022","Fri Apr 29 16:48:41 CDT 2022","340","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","","Movie Details Page: Validate the IMDB Ranking is 8.1 Stars","Then check if the movie has ""8.1"" stars","Then check if the movie has ""8.1"" stars",""
